Customer_ID,Amount_Spent,Customer_Age,Order_Returns
0001,3491,70,1
0002,2819,27,0
0002,4210,27,1
0003,890,23,1
0003,4614,23,0
0003,4735,23,1
0003,445,23,0
0003,2422,23,0
0003,3489,23,1
0003,1577,23,0
0004,3154,66,1
0005,639,26,0
0005,2353,26,0
0005,1444,26,1
0005,2592,26,1
0005,159,26,1
0005,3052,26,1
0006,3771,24,0
0006,2717,24,0
0006,3975,24,0
0006,319,24,0
0006,3972,24,0
0007,4337,34,0
0007,2844,34,1
0007,654,34,0
0008,4015,50,0
0008,3584,50,0
0008,3343,50,0
0008,1372,50,1
0008,1713,50,0
0009,2862,41,1
0009,2927,41,0
0009,1721,41,1
0009,2295,41,1
0010,1930,58,1
0010,573,58,0
0010,4910,58,0
0010,4110,58,1
0010,4949,58,0
0010,2712,58,1
0010,604,58,1
0011,3493,34,0
0011,367,34,1
0011,1611,34,1
0011,357,34,0
0011,4942,34,1
0011,3385,34,0
0011,2379,34,1
0011,581,34,1
0012,2445,33,0
0012,4719,33,0
0012,1638,33,0
0012,4926,33,0
0012,594,33,0
0012,1056,33,1
0013,1465,54,1
0013,667,54,1
0013,1283,54,1
0013,3829,54,1
0014,4808,63,1
0014,1704,63,0
0014,2738,63,0
0014,3090,63,0
0014,2446,63,1
0015,959,64,1
0015,5274,64,0
0015,4423,64,1
0015,4412,64,1
0015,4680,64,0
0016,2572,50,0
0016,1339,50,0
0016,1595,50,1
0016,5080,50,0
0017,3573,22,0
0017,3775,22,1
0017,3402,22,0
0017,128,22,1
0017,4030,22,0
0017,2855,22,0
0017,2336,22,1
0017,276,22,0
0018,1823,58,1
0018,3310,58,0
0018,4879,58,1
0018,3193,58,1
0018,4470,58,0
0018,2413,58,1
0018,602,58,0
0019,475,63,1
0019,1009,63,0
0019,2369,63,1
0019,1126,63,1
0020,2508,62,1
0020,916,62,0
0020,4693,62,1
0020,2095,62,1
0020,2278,62,0
0020,2777,62,1
0021,3931,69,0
0021,4643,69,0
0021,1583,69,0
0022,4035,61,1
0022,1202,61,1
0022,4135,61,0
0022,5240,61,1
0022,3762,61,0
0022,5083,61,0
0022,2991,61,1
0022,4044,61,0
0023,3588,62,1
0023,1646,62,1
0023,3392,62,0
0023,4998,62,0
0024,5215,49,1
0024,5106,49,1
0024,4562,49,0
0024,2806,49,0
0024,4958,49,1
0025,2609,33,1
0025,608,33,0
0025,2479,33,0
0025,4773,33,1
0025,4253,33,0
0026,4655,36,1
0026,1782,36,1
0026,5152,36,0
0026,3210,36,1
0026,2149,36,1
0026,2751,36,0
0027,4246,61,0
0027,3165,61,0
0027,4849,61,0
0028,1903,70,0
0028,1087,70,0
0028,4189,70,1
0028,944,70,0
0029,3442,36,0
0029,3571,36,0
0029,2205,36,0
0029,1529,36,1
0029,1079,36,1
0029,2581,36,0
0029,2287,36,0
0030,4021,27,0
0030,4452,27,1
0030,2632,27,0
0030,2375,27,0
0030,4734,27,0
0030,1338,27,0
0030,4375,27,1
0030,3176,27,1
0031,4605,23,0
0031,698,23,1
0031,1249,23,0
0032,4687,19,1
0032,3513,19,0
0032,3791,19,1
0032,2599,19,0
0033,719,37,0
0033,644,37,1
0033,2622,37,1
0033,477,37,0
0033,4443,37,1
0033,2561,37,1
0033,1052,37,0
0034,1024,41,0
0034,2321,41,1
0035,2128,27,1
0035,1954,27,0
0035,322,27,1
0035,192,27,0
0035,2047,27,1
0035,1316,27,0
0036,4911,36,1
0036,5092,36,1
0036,563,36,1
0037,3998,44,0
0037,3639,44,0
0037,1213,44,0
0038,492,70,1
0038,3543,70,1
0039,5090,43,1
0039,4286,43,1
0039,3027,43,1
0040,3441,56,0
0040,1747,56,0
0041,3190,54,0
0041,467,54,0
0041,1343,54,1
0041,4868,54,0
0042,181,21,1
0042,3060,21,1
0042,3307,21,0
0043,1233,29,1
0043,1336,29,1
0043,3507,29,0
0044,3370,51,1
0044,4344,51,0
0044,4495,51,0
0044,2287,51,1
0044,1879,51,1
0045,3519,46,0
0046,1933,61,0
0046,2238,61,0
0046,3087,61,0
0046,2730,61,0
0046,4889,61,0
0046,3063,61,0
0046,1710,61,1
0047,2124,43,0
0047,3959,43,0
0047,4724,43,1
0048,2475,43,0
0048,2808,43,0
0048,3517,43,1
0048,4945,43,1
0049,2013,19,1
0049,924,19,0
0049,4892,19,0
0049,496,19,1
0050,5033,25,1
0050,2572,25,0
0050,4468,25,1
0050,2193,25,0
0050,1403,25,0
0051,1200,27,1
0051,4520,27,1
0051,3030,27,1
0051,1730,27,0
0052,4593,24,0
0052,687,24,0
0053,4236,37,0
0054,4850,40,1
0054,4256,40,0
0054,3510,40,1
0055,1432,47,0
0055,5141,47,0
0055,4632,47,0
0055,657,47,0
0055,719,47,1
0056,1607,42,1
0056,2286,42,0
0056,1831,42,0
0056,2048,42,1
0056,885,42,0
0056,1966,42,0
0056,4929,42,1
0057,1194,23,1
0057,4655,23,0
0058,3337,24,1
0058,1016,24,1
0058,533,24,1
0058,1013,24,1
0058,4313,24,1
0059,3712,34,0
0059,3608,34,1
0059,4382,34,0
0059,1322,34,0
0059,1297,34,0
0060,4887,37,1
0060,2740,37,0
0060,1935,37,1
0060,3068,37,1
0061,4068,60,0
0061,369,60,0
0061,5177,60,1
0061,3531,60,1
0061,574,60,1
0062,3723,38,0
0062,4406,38,0
0062,643,38,0
0062,244,38,1
0062,3468,38,1
0063,727,29,1
0064,4232,41,0
0064,738,41,0
0065,2234,51,0
0065,3744,51,1
0065,2610,51,1
0065,2314,51,0
0065,1740,51,1
0066,1661,20,0
0066,2823,20,0
0066,4284,20,1
0066,1068,20,1
0067,2661,34,1
0067,1839,34,0
0067,1427,34,0
0067,4494,34,0
0067,1471,34,0
0067,2775,34,1
0067,4722,34,1
0067,756,34,0
0068,4483,43,1
0068,2002,43,1
0068,2748,43,1
0068,1455,43,0
0068,2245,43,0
0068,4612,43,1
0068,3980,43,0
0069,1759,28,0
0069,3317,28,0
0069,4861,28,0
0069,930,28,0
0069,1159,28,1
0070,2770,45,1
0070,2351,45,0
0070,5198,45,1
0070,1340,45,1
0071,5202,54,0
0071,4836,54,0
0072,558,52,0
0072,712,52,0
0072,2978,52,1
0073,3531,40,0
0073,4940,40,1
0073,3521,40,0
0073,2419,40,0
0073,1304,40,1
0073,4092,40,0
0074,2321,66,1
0074,2956,66,0
0074,1175,66,0
0075,3285,46,0
0075,1916,46,0
0075,2769,46,1
0075,907,46,0
0075,625,46,1
0076,832,49,0
0076,2736,49,1
0076,2108,49,0
0077,602,65,0
0077,4320,65,0
0077,2916,65,1
0077,1277,65,0
0078,1514,23,1
0078,2938,23,0
0078,1212,23,1
0078,3032,23,1
0079,2736,41,1
0079,387,41,0
0079,1482,41,1
0079,2570,41,1
0080,1013,44,0
0080,2016,44,1
0081,2253,18,0
0081,3813,18,0
0081,207,18,1
0081,4522,18,0
0081,2872,18,0
0081,4814,18,0
0081,3692,18,0
0082,4433,56,1
0082,3400,56,0
0082,4823,56,1
0082,5056,56,0
0082,1955,56,0
0082,3176,56,1
0082,2731,56,1
0083,3801,29,0
0083,664,29,0
0083,866,29,0
0084,770,69,0
0084,2476,69,0
0085,2018,31,0
0085,2505,31,0
0085,300,31,1
0085,3095,31,1
0086,2698,40,0
0086,2836,40,0
0086,2437,40,1
0086,1710,40,0
0086,3740,40,0
0087,2630,53,1
0087,4471,53,0
0088,2652,49,1
0089,2441,38,1
0089,2854,38,1
0089,1044,38,1
0089,437,38,1
0090,4798,65,1
0090,3926,65,1
0091,4503,21,1
0091,2828,21,1
0091,4247,21,1
0091,1711,21,0
0091,744,21,0
0091,2371,21,1
0092,4007,43,1
0092,4159,43,1
0092,3248,43,0
0092,2229,43,1
0092,359,43,0
0093,519,49,0
0093,3369,49,1
0093,733,49,1
0093,1553,49,0
0094,2200,60,1
0094,1516,60,0
0094,4834,60,1
0094,3174,60,0
0095,973,60,0
0095,3878,60,1
0095,1890,60,0
0095,2006,60,1
0095,650,60,0
0096,3738,63,0
0096,4779,63,1
0096,4422,63,1
0096,3905,63,1
0096,3060,63,0
0096,1513,63,0
0097,2953,54,0
0097,3310,54,0
0097,633,54,0
0097,4679,54,0
0098,2226,20,1
0098,3903,20,1
0098,2855,20,1
0098,2789,20,0
0099,4504,35,0
0099,3108,35,0
0099,2288,35,0
0099,465,35,1
0099,3646,35,0
0100,3961,42,1
0100,2718,42,1
0101,2647,65,0
0101,788,65,0
0101,471,65,0
0101,2475,65,0
0101,2551,65,1
0102,2423,18,0
0102,2320,18,0
0102,2651,18,1
0102,646,18,1
0102,160,18,0
0103,776,20,1
0103,2188,20,1
0103,4483,20,0
0103,1231,20,0
0104,1229,70,1
0104,1627,70,1
0104,2063,70,0
0104,3821,70,1
0105,1471,32,1
0105,3816,32,0
0105,399,32,0
0106,2372,59,1
0106,4501,59,1
0106,3416,59,0
0106,4593,59,0
0106,5263,59,1
0107,3075,18,0
0107,3516,18,0
0107,573,18,1
0107,3525,18,0
0108,4831,32,1
0108,2634,32,0
0108,4365,32,0
0108,5071,32,0
0109,4078,27,0
0109,1249,27,0
0109,1770,27,1
0109,3498,27,1
0109,3191,27,1
0110,466,52,1
0110,5108,52,0
0110,2903,52,0
0110,3359,52,1
0110,4126,52,0
0111,5014,26,0
0111,4164,26,1
0111,1906,26,0
0111,4429,26,1
0111,853,26,0
0112,737,44,1
0112,1340,44,1
0112,4170,44,1
0112,630,44,0
0112,633,44,0
0113,2816,36,1
0113,3731,36,1
0113,2803,36,1
0113,1865,36,0
0113,1970,36,1
0113,1891,36,1
0113,4000,36,0
0114,495,39,0
0114,3034,39,1
0114,5072,39,0
0114,3140,39,0
0115,779,25,0
0115,1915,25,1
0115,1729,25,1
0116,3945,37,0
0116,4089,37,1
0116,3135,37,0
0116,291,37,1
0116,3616,37,1
0117,5238,63,1
0117,4733,63,1
0117,853,63,1
0117,4488,63,1
0118,1655,62,1
0118,668,62,0
0118,3314,62,0
0118,4696,62,0
0118,5304,62,1
0118,2606,62,1
0119,1579,55,0
0119,5157,55,1
0119,1820,55,1
0119,3564,55,0
0119,3828,55,0
0119,3967,55,1
0120,4082,41,0
0120,3517,41,1
0120,2546,41,1
0120,285,41,0
0121,1543,34,1
0121,3822,34,1
0121,2600,34,1
0121,3988,34,0
0122,1808,41,1
0122,228,41,0
0122,4422,41,0
0122,1802,41,1
0122,536,41,0
0122,5006,41,1
0122,2362,41,1
0123,3442,41,1
0123,2056,41,1
0123,3974,41,1
0123,2407,41,1
0123,1334,41,1
0123,2829,41,1
0123,2368,41,1
0123,2326,41,0
0124,2744,23,0
0125,3276,34,1
0126,2638,56,1
0127,3426,68,0
0127,766,68,1
0128,1455,35,0
0128,2466,35,0
0128,2617,35,0
0128,1859,35,0
0128,4490,35,0
0128,3240,35,1
0128,2499,35,1
0129,2579,42,1
0129,2094,42,0
0129,1103,42,1
0129,824,42,0
0129,4584,42,0
0129,2027,42,1
0130,4616,51,1
0130,2294,51,0
0130,3126,51,1
0130,2395,51,0
0131,2076,29,0
0131,4067,29,1
0131,2099,29,1
0131,3787,29,1
0131,4967,29,0
0131,3736,29,1
0131,4029,29,0
0132,3957,20,0
0132,3011,20,1
0132,2036,20,0
0132,2371,20,0
0132,772,20,0
0132,4045,20,1
0133,2086,42,1
0133,3565,42,0
0133,3938,42,1
0134,1661,59,0
0134,1319,59,0
0134,2617,59,0
0134,2796,59,0
0135,1061,48,1
0135,3099,48,0
0135,724,48,0
0135,2412,48,0
0135,3368,48,0
0136,3993,20,1
0136,3955,20,1
0136,4420,20,0
0136,863,20,0
0136,4111,20,0
0137,4694,45,0
0137,1980,45,0
0137,2906,45,1
0138,3404,35,1
0138,2454,35,1
0138,2344,35,1
0139,1116,59,0
0139,1588,59,1
0140,4034,46,0
0140,3617,46,0
0140,3666,46,1
0141,3690,58,0
0141,4868,58,1
0142,4172,31,1
0142,2478,31,1
0142,3785,31,0
0143,2228,42,1
0143,3797,42,1
0143,2758,42,0
0143,2723,42,1
0143,4553,42,0
0143,782,42,0
0143,4148,42,0
0143,2665,42,0
0144,604,57,1
0144,2745,57,0
0144,743,57,1
0144,5038,57,0
0145,4319,26,1
0145,1987,26,0
0145,3415,26,1
0145,4140,26,0
0145,4022,26,0
0145,3874,26,1
0145,4452,26,1
0145,514,26,0
0146,4704,52,0
0146,3394,52,0
0146,4540,52,1
0146,2153,52,1
0147,5118,70,0
0147,3249,70,0
0147,2444,70,0
0148,3294,64,0
0148,4494,64,1
0148,944,64,1
0148,2517,64,0
0149,4207,65,0
0149,3175,65,1
0149,1338,65,1
0149,2322,65,0
0150,258,37,1
0150,3199,37,0
0150,4586,37,1
0151,4862,28,0
0151,2758,28,1
0151,2879,28,0
0151,1632,28,0
0151,2370,28,0
0152,807,47,0
0152,4165,47,0
0152,4769,47,1
0153,547,33,0
0153,971,33,1
0154,4010,45,1
0154,636,45,0
0154,4652,45,1
0154,502,45,1
0154,1158,45,1
0154,4695,45,0
0154,4758,45,0
0155,2123,29,0
0155,1501,29,0
0155,2730,29,0
0155,1218,29,1
0156,3076,20,1
0156,365,20,0
0156,2917,20,0
0156,1446,20,1
0156,927,20,1
0156,4788,20,0
0156,4791,20,1
0156,3689,20,1
0156,875,20,0
0157,5216,58,0
0157,3206,58,1
0157,2086,58,0
0157,2505,58,1
0157,3958,58,1
0158,164,24,1
0158,4607,24,1
0158,5093,24,0
0158,2989,24,1
0159,4923,58,0
0159,3405,58,0
0159,3019,58,1
0160,851,28,1
0160,949,28,0
0160,3626,28,1
0160,2772,28,0
0160,725,28,0
0161,2859,29,1
0161,559,29,1
0161,2639,29,0
0161,4941,29,0
0162,532,69,0
0162,3316,69,0
0162,3548,69,0
0162,3809,69,1
0163,3957,37,1
0163,3780,37,0
0163,1968,37,1
0163,4936,37,0
0163,5129,37,1
0163,4303,37,1
0164,2413,60,1
0164,3264,60,0
0164,1204,60,0
0165,1600,68,0
0165,3314,68,0
0165,2677,68,0
0166,1130,36,1
0166,2396,36,1
0166,4346,36,0
0166,2813,36,1
0166,5135,36,0
0167,1376,49,0
0167,317,49,1
0167,2050,49,0
0168,391,49,0
0169,4164,41,0
0169,1262,41,1
0170,1553,21,1
0170,501,21,1
0170,4616,21,1
0170,4322,21,0
0171,4839,21,0
0171,1747,21,0
0171,3147,21,0
0171,1216,21,0
0171,1198,21,0
0172,3085,41,0
0172,925,41,1
0172,4770,41,0
0172,2768,41,1
0173,4142,47,1
0173,1165,47,1
0173,1356,47,0
0173,1970,47,1
0173,4916,47,1
0174,1849,50,1
0174,1732,50,1
0174,2222,50,0
0174,5062,50,0
0174,5005,50,0
0174,1478,50,0
0174,1685,50,1
0174,1154,50,1
0174,4578,50,1
0175,3291,58,1
0175,2256,58,0
0175,2857,58,1
0176,995,20,0
0176,3889,20,0
0176,4124,20,1
0177,682,49,1
0177,1684,49,1
0177,3803,49,0
0177,468,49,1
0178,3854,67,0
0178,2731,67,0
0178,3173,67,1
0178,1332,67,1
0178,5038,67,0
0178,5005,67,0
0179,3351,69,1
0179,4689,69,0
0179,585,69,1
0179,4025,69,0
0180,4065,57,0
0180,2965,57,1
0180,1585,57,0
0181,3672,61,1
0181,3964,61,1
0181,2998,61,1
0182,2844,52,1
0182,4458,52,1
0182,916,52,1
0182,3475,52,1
0182,820,52,1
0182,644,52,1
0183,3049,55,0
0183,3147,55,0
0183,1958,55,1
0183,2292,55,0
0183,339,55,0
0184,4869,70,0
0184,4622,70,0
0184,4016,70,0
0184,2763,70,1
0184,2295,70,1
0185,3315,55,0
0185,3906,55,1
0185,3803,55,0
0185,4554,55,1
0185,4181,55,0
0185,453,55,1
0186,3351,51,1
0186,645,51,0
0186,1813,51,0
0187,5072,70,1
0187,768,70,1
0187,5057,70,1
0187,2696,70,0
0188,3017,45,0
0188,4202,45,0
0188,3301,45,0
0189,3975,65,1
0189,1494,65,0
0189,1925,65,1
0189,3487,65,1
0189,3957,65,1
0189,4364,65,0
0190,2990,36,0
0190,3815,36,1
0191,4400,48,0
0191,2211,48,0
0192,935,68,0
0192,1797,68,0
0193,4683,29,1
0193,3021,29,1
0193,1849,29,1
0193,1292,29,1
0194,4875,41,0
0194,2445,41,0
0194,1075,41,1
0195,645,46,1
0195,4078,46,1
0195,1076,46,1
0195,2760,46,1
0196,898,31,1
0196,4562,31,1
0196,4960,31,1
0197,1314,35,1
0197,4000,35,1
0197,3661,35,0
0197,2646,35,1
0198,1194,37,1
0198,4940,37,0
0198,1737,37,1
0198,4199,37,1
0199,3535,26,0
0199,1680,26,0
0199,2566,26,1
0200,3794,31,0
0200,1046,31,0
0201,2859,29,1
0201,5000,29,1
0201,854,29,1
0202,2595,57,1
0202,4205,57,0
0202,358,57,0
0202,882,57,0
0202,4757,57,1
0202,4250,57,1
0203,1409,40,1
0203,3976,40,1
0203,1296,40,1
0203,754,40,1
0204,3550,51,0
0204,3107,51,0
0204,1274,51,1
0205,4412,64,0
0205,4185,64,1
0205,3946,64,1
0205,4791,64,1
0205,4148,64,0
0205,2020,64,0
0205,3307,64,1
0205,5105,64,1
0206,3075,29,1
0206,5038,29,1
0207,2171,42,0
0207,1456,42,1
0207,2365,42,0
0207,4057,42,1
0208,3412,45,0
0208,3449,45,0
0208,756,45,0
0208,1878,45,0
0209,4259,34,0
0209,1774,34,1
0210,406,27,0
0210,2653,27,1
0210,2498,27,0
0211,4964,42,0
0211,2738,42,0
0212,1276,59,1
0212,2981,59,1
0213,2708,47,1
0213,4854,47,0
0213,4898,47,0
0213,1218,47,0
0213,3506,47,1
0214,450,52,1
0214,872,52,0
0214,4429,52,0
0215,4142,57,1
0215,4258,57,1
0215,665,57,1
0215,2377,57,1
0216,4569,28,1
0216,2678,28,0
0216,1291,28,0
0216,3995,28,1
0216,3507,28,1
0217,1440,23,0
0217,4059,23,1
0217,5052,23,1
0218,1645,25,0
0218,465,25,0
0218,2962,25,1
0219,3112,67,1
0219,2555,67,1
0219,953,67,0
0220,678,23,0
0220,3604,23,0
0220,345,23,0
0220,3129,23,0
0221,3365,41,0
0221,1011,41,1
0221,3332,41,0
0222,2964,44,0
0222,1145,44,0
0222,3608,44,0
0222,5072,44,1
0222,2610,44,0
0222,5185,44,1
0222,300,44,0
0223,3755,49,0
0223,4046,49,1
0224,4468,18,1
0224,1128,18,1
0224,2805,18,1
0224,3468,18,1
0225,4391,22,0
0226,1510,19,1
0226,1862,19,0
0226,649,19,1
0227,674,27,1
0227,193,27,0
0227,2761,27,1
0228,2406,61,1
0228,3958,61,0
0228,4795,61,1
0229,4416,24,1
0229,4014,24,0
0230,607,36,1
0230,3598,36,0
0230,1479,36,0
0230,3450,36,0
0231,3291,64,1
0231,1982,64,1
0231,1294,64,1
0232,2208,20,1
0232,4054,20,0
0232,4810,20,0
0232,1088,20,0
0233,725,23,0
0233,5013,23,0
0233,2488,23,0
0233,628,23,0
0234,3545,36,0
0234,2529,36,1
0234,4636,36,0
0234,4516,36,1
0234,520,36,0
0235,4905,40,0
0235,4598,40,1
0236,2983,28,1
0236,3185,28,1
0236,829,28,0
0236,342,28,0
0236,1091,28,1
0236,3951,28,1
0236,1671,28,0
0236,884,28,0
0236,1243,28,0
0237,4430,35,1
0237,4535,35,1
0237,3507,35,1
0238,4012,41,1
0238,834,41,1
0239,2674,20,1
0239,1352,20,1
0239,4123,20,1
0239,5067,20,0
0240,3678,30,1
0240,4919,30,1
0240,2094,30,1
0240,1806,30,1
0240,3152,30,0
0241,359,19,0
0241,4496,19,1
0242,4665,28,1
0242,181,28,1
0242,1693,28,0
0242,4639,28,0
0243,1291,33,0
0243,1019,33,1
0243,1910,33,0
0243,1650,33,1
0243,2394,33,0
0243,4652,33,1
0244,1784,70,1
0244,852,70,0
0245,370,62,0
0245,3160,62,0
0245,2675,62,1
0246,4521,64,0
0246,5300,64,1
0246,1414,64,0
0246,5029,64,1
0246,1181,64,1
0246,5294,64,1
0246,4933,64,1
0246,5110,64,1
0246,3253,64,1
0246,2113,64,0
0247,1680,21,0
0247,4613,21,0
0247,3674,21,1
0247,1099,21,1
0247,3463,21,1
0247,1630,21,0
0248,4107,62,1
0248,3080,62,0
0249,2948,39,1
0249,2739,39,0
0249,2774,39,1
0249,2402,39,0
0250,2991,26,0
0250,4471,26,1
0250,4524,26,1
0250,2130,26,1
0250,3889,26,1
0250,4048,26,1
0251,531,39,0
0251,2422,39,1
0252,4604,23,0
0252,701,23,1
0252,2743,23,0
0252,1755,23,1
0252,2782,23,1
0252,174,23,1
0252,748,23,0
0252,1674,23,1
0252,913,23,1
0253,4911,43,0
0253,5172,43,0
0253,686,43,1
0253,2157,43,1
0254,4773,54,1
0254,1511,54,1
0254,3735,54,1
0254,1129,54,1
0254,4207,54,0
0254,1805,54,1
0255,4765,47,1
0255,5059,47,0
0256,1567,41,1
0257,1673,55,0
0257,1586,55,0
0257,4258,55,0
0257,1617,55,1
0257,2732,55,1
0258,926,64,1
0258,3088,64,1
0258,5210,64,0
0258,1726,64,1
0258,4885,64,1
0259,882,27,1
0259,4277,27,1
0259,4085,27,0
0259,1883,27,1
0260,5131,46,1
0260,3054,46,1
0260,1446,46,1
0260,3257,46,0
0260,1541,46,1
0261,3375,66,1
0261,3733,66,0
