Customer_ID,Customer_Gender,Customer_Residence_Type,Customer_Qualification,Customer_Income,Loyalty_Engagement_Score,Total_Subscriptions,Membership_Type,Customer_Live_Time_Value
0001,Male,Urban,Bachelor,5K-10K,5790,More than 1,Platinum,64308
0002,Male,Rural,High School,5K-10K,5080,More than 1,Platinum,515400
0003,Male,Urban,Bachelor,5K-10K,2599,More than 1,Platinum,64212
0004,Female,Rural,High School,5K-10K,0,More than 1,Platinum,97920
0005,Male,Urban,High School,More than 10K,3508,More than 1,Gold,59736
0006,Male,Rural,High School,More than 10K,0,1,Gold,348768
0007,Female,Rural,Bachelor,5K-10K,0,More than 1,Gold,238920
0008,Female,Urban,High School,5K-10K,5473,More than 1,Silver,64128
0009,Female,Urban,High School,5K-10K,6105,More than 1,Gold,94536
0010,Male,Rural,High School,More than 10K,0,More than 1,Platinum,99060
0011,Male,Urban,High School,5K-10K,4329,More than 1,Platinum,74148
0012,Male,Urban,Bachelor,2K-5K,6351,More than 1,Silver,64008
0013,Male,Urban,Bachelor,2K-5K,4327,1,Platinum,60828
0014,Male,Urban,Bachelor,2K-5K,4615,More than 1,Silver,133344
0015,Male,Urban,Bachelor,5K-10K,6915,More than 1,Platinum,65400
0016,Female,Urban,High School,2K-5K,5398,1,Gold,55764
0017,Male,Rural,Bachelor,5K-10K,0,1,Silver,29124
0018,Female,Rural,High School,More than 10K,0,More than 1,Silver,102876
0019,Female,Urban,High School,5K-10K,4336,More than 1,Platinum,75036
0020,Female,Urban,Bachelor,More than 10K,7541,More than 1,Platinum,110568
0021,Male,Urban,High School,5K-10K,8029,More than 1,Silver,113340
0022,Male,Urban,High School,2K-5K,6132,1,Platinum,34248
0023,Female,Urban,Bachelor,5K-10K,2212,More than 1,Platinum,115632
0024,Male,Urban,High School,5K-10K,2933,More than 1,Platinum,265080
0025,Male,Urban,Bachelor,More than 10K,0,More than 1,Gold,67632
0026,Female,Rural,Bachelor,5K-10K,3548,More than 1,Platinum,63396
0027,Female,Urban,High School,2K-5K,3166,1,Platinum,48684
0028,Male,Rural,Bachelor,5K-10K,0,1,Silver,30072
0029,Female,Urban,High School,5K-10K,8145,More than 1,Silver,262260
0030,Female,Rural,High School,5K-10K,0,1,Platinum,33552
0031,Male,Urban,High School,5K-10K,5779,More than 1,Gold,62568
0032,Male,Rural,Others,5K-10K,4834,1,Platinum,34824
0033,Male,Rural,Bachelor,5K-10K,2854,1,Platinum,60156
0034,Female,Rural,High School,2K-5K,2438,More than 1,Platinum,72888
0035,Female,Urban,High School,5K-10K,3914,1,Platinum,65664
0036,Male,Rural,High School,More than 10K,0,1,Silver,32292
0037,Male,Urban,High School,5K-10K,2634,1,Platinum,55656
0038,Female,Urban,High School,5K-10K,6473,More than 1,Platinum,106188
0039,Female,Urban,High School,2K-5K,5573,1,Silver,34944
0040,Female,Rural,High School,5K-10K,0,More than 1,Platinum,65496
0041,Female,Urban,Bachelor,5K-10K,2806,More than 1,Silver,70236
0042,Female,Rural,High School,5K-10K,2708,1,Silver,47964
0043,Female,Urban,Bachelor,2K-5K,6279,More than 1,Platinum,67992
0044,Male,Urban,Bachelor,5K-10K,4050,More than 1,Platinum,63276
0045,Female,Urban,High School,2K-5K,5443,1,Platinum,52464
0046,Male,Rural,Bachelor,5K-10K,0,1,Platinum,31128
0047,Male,Urban,High School,5K-10K,4190,1,Platinum,28752
0048,Female,Urban,Bachelor,2K-5K,16123,More than 1,Platinum,72168
0049,Male,Urban,High School,5K-10K,6458,More than 1,Platinum,67032
0050,Male,Urban,Bachelor,2K-5K,7890,More than 1,Silver,208452
0051,Female,Rural,Bachelor,5K-10K,0,More than 1,Silver,64056
0052,Female,Urban,High School,5K-10K,9583,More than 1,Gold,120048
0053,Male,Rural,Bachelor,5K-10K,0,More than 1,Gold,91164
0054,Female,Urban,High School,2K-5K,4080,More than 1,Platinum,160632
0055,Male,Urban,High School,5K-10K,3988,More than 1,Platinum,109440
