Was_Product_Reordered,Order_ID,Product_ID
1,1,6818
1,1,9282
1,1,70
1,1,839
1,1,2873
1,1,13956
1,1,13153
1,1,3396
0,1,7703
1,1,7011
0,1,14996
1,2,7997
1,2,7609
1,2,8304
1,2,9676
1,2,13748
1,2,7811
1,2,15592
0,2,13329
1,2,6400
0,2,7170
0,2,5819
0,2,13526
1,2,15603
1,2,10413
1,3,3385
1,3,14140
1,3,11076
1,3,11631
1,4,5484
0,5,2361
0,5,1621
1,5,8343
1,5,3873
1,5,3045
1,5,490
1,5,15694
1,5,7327
1,5,7330
0,5,11369
0,6,7327
0,6,15701
0,6,7068
0,6,14350
0,6,6396
0,6,15694
0,6,16242
1,7,6009
1,7,3126
1,7,5185
1,7,6363
1,7,12976
1,8,15509
1,8,4758
1,8,3751
1,8,9081
1,8,6014
1,8,15196
1,8,2599
1,8,5171
1,8,4182
1,8,4892
1,8,8804
1,9,14073
0,9,11019
0,9,324
0,9,14777
1,9,4295
1,10,1974
1,10,14727
1,10,16214
1,10,7793
1,10,14263
1,10,2092
1,11,14667
1,11,7327
1,11,1615
1,11,13036
1,11,9934
1,11,6143
1,11,15175
1,11,994
1,11,490
1,11,11849
0,11,4821
0,11,11913
0,11,4892
0,11,8420
0,11,16093
0,11,11871
0,11,496
1,11,489
1,11,13302
0,11,7068
1,11,8304
0,11,8881
1,11,16358
1,11,14754
1,11,1908
1,12,2105
1,12,502
1,12,1939
1,12,3070
1,12,5562
1,12,1505
1,12,7235
1,12,14939
1,12,15901
0,12,1203
1,12,12593
0,12,15833
0,13,10296
0,13,1963
0,13,596
0,13,13457
1,14,9588
1,14,7405
1,14,8881
0,14,1765
0,15,6343
0,15,7498
0,15,7832
0,15,5770
0,15,14675
0,15,10012
0,15,10501
0,15,9479
0,15,4216
1,16,5638
1,16,3045
0,16,7878
1,16,12348
1,16,1459
1,16,8411
0,16,2571
0,16,15749
1,16,14995
1,16,3208
1,16,5345
0,16,13305
1,17,1488
1,17,6298
1,17,8085
1,17,4423
1,17,14073
1,17,5449
0,17,9422
1,17,2358
1,17,13753
1,17,13325
0,18,13065
0,18,1444
0,18,4831
0,18,6170
0,18,8304
0,18,11095
0,18,4195
0,18,2789
0,18,6396
0,18,14777
0,18,11479
0,18,3177
0,18,11758
0,18,1210
1,19,1985
1,19,8343
1,19,10579
1,19,11394
1,19,13325
1,19,14974
0,19,6972
1,19,7663
1,19,8987
1,19,7084
1,19,13562
1,19,7167
1,19,13153
0,19,1884
1,19,14249
0,19,1532
0,19,9615
1,19,9854
1,20,6484
1,20,5373
1,20,6775
1,20,8086
1,20,10880
1,20,15361
1,20,15372
0,21,10552
0,21,11969
0,21,8792
1,22,14249
0,22,1177
1,22,545
1,22,12391
1,22,13085
1,22,4706
1,22,14564
1,23,9324
1,23,5494
0,23,5284
0,23,12337
1,23,16501
1,23,8304
1,23,3839
1,23,15694
0,24,7235
1,24,10134
1,24,6030
1,24,1847
1,25,3688
1,25,2236
1,25,6377
0,25,10779
1,26,1028
1,26,1847
1,26,8304
1,26,539
0,26,4030
0,26,14744
1,26,9657
0,26,3954
1,26,10815
0,26,9324
1,26,14850
1,26,15401
0,26,16188
0,26,9626
1,27,1985
1,27,8845
1,27,6005
1,27,1578
1,27,7116
0,27,7626
0,27,13859
0,27,7663
0,27,2025
1,27,2855
1,28,7327
1,28,13570
1,28,9174
1,28,415
1,28,12579
1,28,16066
