User_ID,Age,Gender,Income_Level,Cultural_Eco_Alignment,Emotional_Guilt_Score,Emotional_Pride_Score,Social_Influence_Score,Green_Knowledge_Level,Time_Spent_on_Green_Products,Clicks_on_Green_Products,Previous_Green_Purchases,Session_Duration_Minutes,Device_Type,Referral_Source,Product_Category,Green_Product_Rating,Green_Consumption_Score,Green_Purchase_Made
U00000,56,Other,Low,5,10,8,4,9,9.186481492154542,2,1,22.105328604209333,Tablet,Social Media,Eco-Friendly,1,0.6559324074607726,1
U00001,46,Female,Low,9,9,9,9,5,5.644034849961846,2,2,22.066287707444886,Desktop,Social Media,Eco-Friendly,4,0.7382201742498092,1
U00002,32,Female,Medium,3,5,1,3,9,10.360766184108806,3,4,16.248169694209857,Tablet,Email,Eco-Friendly,3,0.40680383092054406,0
U00003,25,Female,Low,9,10,2,7,10,13.69118615408081,2,0,8.166816870720234,Tablet,Ads,Non-Eco-Friendly,4,0.668455931,1
U00004,38,Male,Medium,6,4,10,3,6,4.283305044580697,4,4,27.72711185673051,Tablet,Social Media,Non-Eco-Friendly,3,0.5714165252229035,1
U00005,56,Male,Low,4,6,2,7,9,10.437368768403696,2,5,19.76864024,Mobile,Email,Non-Eco-Friendly,3,0.5121868438420185,1
U00006,36,Female,Medium,7,8,4,7,7,11.16521475764742,2,2,16.543842348266555,Desktop,Ads,Non-Eco-Friendly,2,0.605826074,1
U00007,40,Other,High,8,3,2,9,7,6.409676081908678,4,1,9.940206589029987,Desktop,Email,Non-Eco-Friendly,5,0.4820483804095434,0
U00008,28,Male,High,6,10,7,2,8,7.060718475459999,1,2,15.405686180488205,Tablet,Email,Eco-Friendly,3,0.620303592,1
U00009,28,Other,Medium,5,1,9,6,7,11.153054243831072,1,1,2.298868429162157,Tablet,Ads,Eco-Friendly,1,0.5007652712191553,1
U00010,41,Female,Medium,6,4,7,9,9,4.332894908536885,4,1,20.18633243135789,Tablet,Organic Search,Eco-Friendly,5,0.5716644745426845,1
U00011,53,Female,Medium,5,4,6,2,9,11.749618576246963,3,2,21.89314280025844,Mobile,Organic Search,Non-Eco-Friendly,2,0.5037480928812349,1
U00012,57,Male,Medium,8,1,10,2,6,5.523228132,8,0,16.60831294359928,Desktop,Social Media,Non-Eco-Friendly,5,0.527616141,1
U00013,41,Female,Medium,1,9,1,5,7,15.314268465166082,1,0,8.278229529067266,Tablet,Ads,Eco-Friendly,5,0.4215713423258304,0
U00014,20,Male,Low,7,3,10,10,2,21.68913873,4,3,18.1632831,Desktop,Social Media,Non-Eco-Friendly,3,0.6784456936347075,1
U00015,39,Female,High,10,5,9,10,9,5.696215991490901,2,2,20.51150632686035,Tablet,Email,Eco-Friendly,1,0.7284810799574546,1
U00016,19,Female,Medium,10,6,5,10,1,12.671039311873374,2,2,9.797345432553339,Desktop,Organic Search,Eco-Friendly,3,0.6233551965593669,1
U00017,41,Male,Low,2,8,5,8,1,6.366290475589904,3,0,21.53794556,Tablet,Social Media,Eco-Friendly,1,0.4368314523779495,0
U00018,47,Male,Medium,9,6,6,9,3,15.204770868988948,4,1,18.671622042159232,Mobile,Social Media,Non-Eco-Friendly,1,0.6460238543449448,1
U00019,55,Male,Medium,1,3,9,2,6,3.673707954573925,3,0,13.081885803266323,Tablet,Organic Search,Non-Eco-Friendly,4,0.37336853977286966,0
U00020,19,Female,High,10,6,8,5,5,12.402933792138564,4,1,11.096410946309433,Tablet,Email,Eco-Friendly,3,0.6720146689606928,1
U00021,38,Female,Medium,6,1,8,7,2,5.635055165553236,5,0,13.74787776606361,Tablet,Social Media,Eco-Friendly,2,0.4431752758277662,0
U00022,50,Other,Medium,9,4,8,6,9,8.965077054508157,5,2,8.205325628320583,Tablet,Social Media,Non-Eco-Friendly,5,0.6598253852725409,1
U00023,29,Male,Low,1,6,1,6,10,4.844873624263465,2,3,16.821839109376796,Tablet,Ads,Non-Eco-Friendly,4,0.3842243681213174,0
U00024,39,Female,Medium,4,7,1,7,4,14.111752354478767,5,2,18.909391645454633,Desktop,Ads,Non-Eco-Friendly,2,0.4655587617723939,0
U00025,42,Female,Medium,4,10,8,3,4,5.815098227802065,3,5,23.180176149568425,Desktop,Organic Search,Non-Eco-Friendly,3,0.6040754911390105,1
U00026,44,Male,Low,9,3,5,3,5,12.759821296659137,5,4,17.082140236567643,Mobile,Organic Search,Eco-Friendly,1,0.5487991064832958,1
U00027,59,Other,Low,5,9,9,10,8,8.279509858688336,3,2,17.739224363473753,Tablet,Email,Eco-Friendly,3,0.7163975492934417,1
U00028,45,Male,Medium,5,7,2,9,10,9.427638141005685,6,1,13.123945802462499,Desktop,Email,Non-Eco-Friendly,3,0.5571381907050283,1
U00029,33,Other,Low,6,1,9,8,4,10.738779537000642,1,2,8.881275059961288,Desktop,Social Media,Non-Eco-Friendly,4,0.5186938976850033,1
U00030,32,Female,Medium,1,2,8,5,5,6.190876641705756,1,1,11.990476203530545,Tablet,Ads,Non-Eco-Friendly,2,0.3659543832085288,0
U00031,20,Other,Low,1,1,9,6,4,11.051835567704435,4,2,24.996495683317413,Tablet,Email,Non-Eco-Friendly,4,0.41525917783852223,0
U00032,54,Female,Low,9,9,4,10,6,17.651672821772056,3,3,19.438566557270832,Mobile,Social Media,Eco-Friendly,2,0.7332583641088604,1
U00033,24,Male,Low,3,9,1,1,3,6.109526070836429,7,2,17.851780243510593,Mobile,Social Media,Non-Eco-Friendly,4,0.38554763035418227,0
U00034,38,Male,High,4,7,1,10,8,15.859050716369225,2,0,2.292404472122783,Desktop,Organic Search,Non-Eco-Friendly,5,0.5092952535818461,1
U00035,26,Male,High,1,10,5,1,6,17.490488167438922,0,3,17.18969321720589,Mobile,Ads,Eco-Friendly,1,0.5074524408371947,1
