antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"bakery, dairy eggs, snacks","deli, produce",0.12848249027237355,0.2056809338521401,0.052140077821011675,0.4058146577831617,1.9730300236525267,1.0,0.025713679238141378,1.3368203651479273,0.56586968719222,0.184878587196468,0.251956339033372,0.3296572343020992
"bakery, deli","dairy eggs, produce, snacks",0.09603112840466926,0.27719844357976653,0.052140077821011675,0.5429497568881686,1.9587042043832024,1.0,0.025520398492028647,1.5814487954300855,0.541454915505119,0.16238487639360155,0.36766842980329095,0.3655231659230287
"bakery, dairy eggs, produce, snacks",deli,0.11455252918287938,0.23665369649805448,0.052140077821011675,0.45516304347826086,1.9233295326194186,1.0,0.02503079834668201,1.4010545620384836,0.5421759194885128,0.17434296122820714,0.2862519225910543,0.3377426529459703
"dry goods pasta, snacks","dairy eggs, frozen",0.09852140077821012,0.27206225680933854,0.05151750972762646,0.5229067930489731,1.9220115247938514,1.0,0.024713555087889295,1.5257767928466515,0.5321388184139807,0.16146341463414637,0.34459613969203595,0.35613303039176347
"deli, pantry","dairy eggs, produce, snacks",0.10194552529182879,0.27719844357976653,0.05392996108949416,0.5290076335877862,1.9084076618762083,1.0,0.025670820148677494,1.5346353953168652,0.5300379381835187,0.1658291457286432,0.34837942416053547,0.36178062757435353
"dairy eggs, deli, snacks","bakery, produce",0.11478599221789883,0.2380544747081712,0.052140077821011675,0.4542372881355933,1.9081232927565785,1.0,0.024814758739723542,1.3961113662179474,0.5376381827128096,0.17339544513457558,0.2837247627966881,0.3366315567843707
"deli, produce, snacks","bakery, dairy eggs",0.12031128404669261,0.23027237354085603,0.052140077821011675,0.4333764553686934,1.8820167122297096,1.0,0.02443571287983164,1.3584462448696764,0.5327510536489527,0.17470664928292048,0.2638648722563654,0.32990215130719225
"deli, frozen","dairy eggs, produce, snacks",0.11229571984435797,0.27719844357976653,0.058365758754863814,0.5197505197505198,1.8750124028057775,1.0,0.02723755999333828,1.5050543231087978,0.5257045673709126,0.17626321974148063,0.3355721553395972,0.3651531936203469
"canned goods, snacks","dairy eggs, pantry",0.1048249027237354,0.2691828793774319,0.05237354085603113,0.4996288047512992,1.8560942876710596,1.0,0.02415647171039683,1.4605499428465865,0.5152447471872122,0.16283571255746432,0.31532639133789747,0.3470968539512495
"bakery, produce, snacks",deli,0.1308171206225681,0.23665369649805448,0.05727626459143969,0.43783462224866154,1.8501068385055246,1.0,0.026317909430877078,1.3578678689807095,0.5286467152872665,0.1846462619167085,0.2635513197976655,0.33993013585303844
"dry goods pasta, snacks","frozen, produce",0.09852140077821012,0.2906614785992218,0.05276264591439689,0.5355450236966824,1.8425042983942086,1.0,0.024126269890535814,1.5272492654649406,0.5072338104434557,0.15683553088133242,0.3452280366980109,0.35853556405717657
"bakery, frozen","dairy eggs, produce, snacks",0.12731517509727627,0.27719844357976653,0.06459143968871596,0.5073349633251834,1.8302229867289743,1.0,0.029299871307665523,1.4671257398306474,0.5197964678403286,0.190018315018315,0.31839516351513847,0.3701750616738213
"bakery, dairy eggs, snacks",deli,0.12848249027237355,0.23665369649805448,0.0554863813229572,0.4318594791035736,1.8248583710887605,1.0,0.02508052506472467,1.3435871504069425,0.5186496690560555,0.1791907514450867,0.2557237543562973,0.33316091350772237
"beverages, deli","dairy eggs, produce, snacks",0.12311284046692607,0.27719844357976653,0.06194552529182879,0.5031605562579013,1.8151637136198855,1.0,0.027818837529712787,1.4547990613954316,0.5121360262441066,0.18307267709291627,0.31261984796662706,0.3633152584770697
"bakery, produce, snacks","dairy eggs, frozen",0.1308171206225681,0.27206225680933854,0.06459143968871596,0.4937537180249852,1.8148556283241015,1.0,0.029001038622840626,1.4379122753272644,0.5165679101040208,0.19093627789279966,0.3045472820847829,0.3655839528340029
"canned goods, snacks","dairy eggs, frozen",0.1048249027237354,0.27206225680933854,0.05159533073929961,0.4922048997772829,1.8091627466070035,1.0,0.023076431134460777,1.43352652058161,0.499632006287559,0.15861244019138754,0.3024196025377469,0.34092510435088397
"bakery, pantry","dairy eggs, produce, snacks",0.12381322957198443,0.27719844357976653,0.062023346303501946,0.5009428032683847,1.8071631167879685,1.0,0.02770251177156354,1.4483341010889061,0.5097617709540719,0.1829660238751148,0.3095515742892704,0.3623467525606382
"dairy eggs, frozen, produce, snacks",deli,0.13649805447470817,0.23665369649805448,0.058365758754863814,0.42759407069555305,1.8068345308904494,1.0,0.02606298959863132,1.3335751158788969,0.5171336217255468,0.1854140914709518,0.2501359780240449,0.3371117344599107
