Customer_ID,Preferred_Login_Device,City_Tier,Preferred_Payment_Mode,Hours_Spend_On_Website,Total_Devices_Registered,Satisfaction_Score,Marital_Status,Complain_Count_In_Last_Month,Order_Amount_Hike_From_Last_Year,Discount_Coupon_Used_Count,Days_Since_Last_Order,Average_Cash_Back,Churn,Customer_Gender,Customer_Residence_Type,Customer_Qualification,Customer_Income,Loyalty_Engagement_Score,Total_Subscriptions,Membership_Type,Customer_Live_Time_Value,Customer_Age,Total_Amount_Spent,Total_Returns,Preferred_Order_Category,Preferred_Order_Category_Name,Total_Orders_This_Month,Purchase_Intensity,Recency,Avg_Spend_Per_Order,KMeans_Segment,Segment_Label,Cultural_Eco_Alignment,Emotional_Guilt_Score,Emotional_Pride_Score,Social_Influence_Score,Green_Knowledge_Level,Time_Spent_on_Green_Products,Clicks_on_Green_Products,Previous_Green_Purchases,Referral_Source,Product_Category,Green_Product_Rating,Green_Consumption_Score,Green_Purchase_Made,Pred_Green_Class,Pred_Green_Score,Eco_Segment
4091,Computer,3,Credit Card,3,4,1,Single,0,15,9,3,225,0,Male,Urban,Bachelor,2K-5K,3974,More than 1,Silver,63324,32,4501,0,19,snacks,1,4.501,3,2250.5,3,Value Seeking Customers,,,,,,,,,,,,,,,,
1936,Mobile Phone,1,CC,3,3,1,Married,0,13,0,8,131,0,Male,Rural,Bachelor,5K-10K,0,1,Platinum,46776,20,6204,2,4,produce,2,12.408,8,2068.0,1,At-Risk Customers,,,,,,,,,,,,,,,,
2555,Computer,1,Credit Card,3,3,2,Married,0,15,1,3,146,0,Male,Urban,High School,More than 10K,12260,More than 1,Platinum,74904,38,6877,0,4,produce,2,13.754,3,2292.3333333333335,3,Value Seeking Customers,,,,,,,,,,,,,,,,
118,Mobile Phone,1,CC,2,4,5,Married,1,11,4,8,126,0,Male,Urban,Bachelor,5K-10K,2281,1,Silver,32496,62,18243,3,16,dairy eggs,3,54.729,8,4560.75,1,At-Risk Customers,5.0,5.0,10.0,10.0,9.0,7.0,0.0,1.0,Organic Search,Non-Eco-Friendly,2.0,0.63,1.0,1.0,0.63,Eco_Conscious
4350,Computer,1,Credit Card,3,4,4,Single,0,18,1,3,149,1,Female,Urban,Bachelor,2K-5K,8294,More than 1,Silver,291144,53,4672,0,1,frozen,2,9.344,3,1557.3333333333333,0,Frequent Loyal Customers,,,,,,,,,,,,,,,,
1755,Computer,1,Debit Card,3,3,5,Married,0,11,1,7,279,0,Male,Urban,Bachelor,More than 10K,2664,More than 1,Silver,67368,24,7552,0,7,beverages,2,15.104,7,2517.3333333333335,1,At-Risk Customers,,,,,,,,,,,,,,,,
815,Computer,1,Credit Card,3,3,1,Single,0,13,4,8,137,0,Male,Rural,High School,5K-10K,3771,More than 1,Gold,62388,56,5614,2,4,produce,1,5.614,8,2807.0,1,At-Risk Customers,5.0,7.0,9.0,8.0,5.0,4.0,2.0,1.0,Ads,Eco-Friendly,4.0,0.59,1.0,1.0,0.58,Eco_Conscious
862,Mobile Phone,1,Debit Card,3,4,4,Married,0,12,1,5,159,0,Male,Urban,Bachelor,2K-5K,7653,More than 1,Gold,106260,19,7776,3,19,snacks,3,23.328,5,1944.0,1,At-Risk Customers,1.0,8.0,7.0,1.0,4.0,7.0,4.0,2.0,Organic Search,Eco-Friendly,4.0,0.44,0.0,0.0,0.51,Low_Interest
4444,Computer,1,Credit Card,3,4,3,Single,0,18,2,14,260,0,Male,Urban,Bachelor,More than 10K,3726,1,Gold,33060,44,15219,3,13,pantry,3,45.657,14,3804.75,1,At-Risk Customers,,,,,,,,,,,,,,,,
53,Mobile Phone,1,Credit Card,2,2,5,Married,0,11,1,3,145,0,Male,Rural,Bachelor,5K-10K,0,More than 1,Gold,91164,37,4236,0,4,produce,4,16.944,3,847.2,0,Frequent Loyal Customers,6.0,4.0,9.0,9.0,2.0,13.0,4.0,2.0,Organic Search,Non-Eco-Friendly,2.0,0.59,1.0,1.0,0.56,Eco_Conscious
4282,Mobile Phone,1,Debit Card,4,4,5,Married,1,14,6,2,151,0,Female,Urban,High School,5K-10K,2609,More than 1,Gold,112116,47,15522,3,4,produce,2,31.044,2,5174.0,2,High-Value Customers,,,,,,,,,,,,,,,,
2057,Mobile Phone,1,Debit Card,3,3,3,Married,1,15,1,3,130,0,Male,Urban,High School,2K-5K,7098,More than 1,Platinum,66408,56,11219,2,4,produce,6,67.314,3,1602.7142857142858,3,Value Seeking Customers,,,,,,,,,,,,,,,,
166,Mobile Phone,1,Credit Card,2,3,5,Divorced,1,14,1,10,271,0,Male,Urban,Bachelor,2K-5K,3576,1,Silver,58812,36,15820,3,4,produce,2,31.64,10,5273.333333333333,2,High-Value Customers,1.0,2.0,5.0,3.0,5.0,3.0,2.0,1.0,Social Media,Eco-Friendly,3.0,0.28,0.0,0.0,0.3,Low_Interest
863,Mobile Phone,3,Debit Card,3,3,1,Single,1,21,0,2,126,0,Female,Urban,Bachelor,2K-5K,4632,1,Platinum,31548,35,6492,2,5,alcohol,3,19.476,2,1623.0,0,Frequent Loyal Customers,1.0,3.0,4.0,4.0,6.0,5.0,5.0,3.0,Email,Eco-Friendly,5.0,0.34,0.0,0.0,0.3,Low_Interest
2413,Computer,1,CC,3,3,5,Married,1,13,2,3,131,0,Female,Urban,High School,2K-5K,3625,1,Gold,30900,67,10175,2,18,babies,1,10.175,3,5087.5,2,High-Value Customers,,,,,,,,,,,,,,,,
